 200,        !Nanometers
   0.000,  1.208,  2.176,  2.994,  3.707,  4.340,  4.907,  5.417,  5.877,  6.296,
   6.684,  7.051,  7.405,  7.758,  8.111,  8.452,  8.777,  9.092,  9.409,  9.740,
  10.099, 10.485, 10.894, 11.309, 11.713, 12.095, 12.443, 12.751, 13.019, 13.251,
  13.451, 13.623, 13.772, 13.899, 14.007, 14.099, 14.179, 14.246, 14.302, 14.350,
  14.391, 14.425, 14.453, 14.475, 14.492, 14.506, 14.517, 14.526, 14.533, 14.539,
  14.543,
 205,        !Nanometers
   0.000,  1.112,  1.995,  2.738,  3.382,  3.955,  4.468,  4.931,  5.349,  5.732,
   6.091,  6.436,  6.775,  7.122,  7.478,  7.826,  8.162,  8.492,  8.828,  9.184,
   9.573,  9.999, 10.451, 10.912, 11.363, 11.789, 12.179, 12.524, 12.823, 13.083,
  13.307, 13.500, 13.667, 13.809, 13.930, 14.033, 14.123, 14.198, 14.261, 14.314,
  14.360, 14.398, 14.429, 14.454, 14.473, 14.489, 14.501, 14.510, 14.518, 14.524,
  14.529,
 210,        !Nanometers
   0.000,  1.042,  1.866,  2.554,  3.150,  3.680,  4.156,  4.586,  4.978,  5.341,
   5.688,  6.029,  6.377,  6.749,  7.143,  7.537,  7.922,  8.308,  8.706,  9.136,
   9.615, 10.142, 10.708, 11.288, 11.857, 12.396, 12.891, 13.328, 13.707, 14.038,
  14.322, 14.566, 14.778, 14.959, 15.112, 15.243, 15.357, 15.452, 15.532, 15.600,
  15.658, 15.706, 15.746, 15.776, 15.801, 15.820, 15.835, 15.847, 15.857, 15.865,
  15.871,
 215,        !Nanometers
   0.000,  0.987,  1.763,  2.408,  2.966,  3.462,  3.908,  4.314,  4.686,  5.035,
   5.376,  5.720,  6.083,  6.486,  6.925,  7.372,  7.814,  8.262,  8.732,  9.244,
   9.819, 10.459, 11.149, 11.859, 12.557, 13.219, 13.827, 14.365, 14.832, 15.239,
  15.588, 15.889, 16.150, 16.373, 16.561, 16.722, 16.862, 16.979, 17.077, 17.161,
  17.232, 17.292, 17.340, 17.378, 17.408, 17.432, 17.450, 17.465, 17.476, 17.486,
  17.493,
 220,        !Nanometers
   0.000,  0.957,  1.709,  2.332,  2.870,  3.349,  3.782,  4.180,  4.547,  4.898,
   5.251,  5.620,  6.027,  6.498,  7.026,  7.573,  8.121,  8.683,  9.278,  9.935,
  10.680, 11.514, 12.419, 13.351, 14.269, 15.143, 15.945, 16.654, 17.271, 17.808,
  18.269, 18.666, 19.011, 19.305, 19.553, 19.766, 19.951, 20.106, 20.235, 20.345,
  20.439, 20.519, 20.582, 20.632, 20.671, 20.702, 20.727, 20.746, 20.761, 20.773,
  20.783,
 225,        !Nanometers
   0.000,  0.975,  1.745,  2.385,  2.936,  3.429,  3.879,  4.297,  4.690,  5.075,
   5.479,  5.923,  6.437,  7.062,  7.784,  8.544,  9.315, 10.115, 10.970, 11.923,
  13.013, 14.241, 15.577, 16.959, 18.322, 19.620, 20.812, 21.868, 22.784, 23.583,
  24.270, 24.860, 25.373, 25.811, 26.180, 26.497, 26.772, 27.002, 27.195, 27.358,
  27.498, 27.616, 27.710, 27.784, 27.843, 27.889, 27.925, 27.953, 27.975, 27.993,
  28.007,
 230,        !Nanometers
   0.000,  1.093,  1.971,  2.706,  3.339,  3.912,  4.443,  4.944,  5.426,  5.918,
   6.461,  7.091,  7.860,  8.838,  9.999, 11.237, 12.506, 13.833, 15.263, 16.870,
  18.719, 20.810, 23.095, 25.460, 27.796, 30.023, 32.069, 33.881, 35.455, 36.827,
  38.005, 39.019, 39.900, 40.652, 41.286, 41.830, 42.302, 42.697, 43.028, 43.309,
  43.549, 43.751, 43.913, 44.040, 44.140, 44.219, 44.280, 44.328, 44.366, 44.396,
  44.421,
 235,        !Nanometers
   0.000,  1.202,  2.182,  3.005,  3.716,  4.362,  4.967,  5.547,  6.111,  6.702,
   7.374,  8.174,  9.178, 10.479, 12.044, 13.721, 15.446, 17.256, 19.214, 21.420,
  23.965, 26.848, 30.001, 33.268, 36.497, 39.575, 42.403, 44.910, 47.086, 48.983,
  50.613, 52.015, 53.232, 54.273, 55.149, 55.901, 56.554, 57.101, 57.559, 57.946,
  58.279, 58.558, 58.782, 58.957, 59.095, 59.204, 59.289, 59.355, 59.407, 59.449,
  59.483,
 240,        !Nanometers
   0.000,  1.345,  2.457,  3.395,  4.206,  4.948,  5.650,  6.328,  6.996,  7.709,
   8.537,  9.544, 10.829, 12.516, 14.559, 16.757, 19.023, 21.406, 23.990, 26.905,
  30.273, 34.093, 38.274, 42.607, 46.891, 50.975, 54.729, 58.056, 60.944, 63.462,
  65.626, 67.487, 69.103, 70.484, 71.647, 72.645, 73.512, 74.238, 74.845, 75.360,
  75.801, 76.172, 76.468, 76.701, 76.884, 77.029, 77.141, 77.228, 77.298, 77.353,
  77.398,
 245,        !Nanometers
   0.000,  1.432,  2.625,  3.634,  4.507,  5.309,  6.069,  6.809,  7.545,  8.336,
   9.266, 10.409, 11.881, 13.826, 16.189, 18.737, 21.366, 24.133, 27.137, 30.529,
  34.450, 38.901, 43.773, 48.824, 53.817, 58.578, 62.955, 66.833, 70.201, 73.137,
  75.659, 77.829, 79.713, 81.324, 82.679, 83.843, 84.854, 85.700, 86.408, 87.008,
  87.523, 87.955, 88.301, 88.572, 88.785, 88.954, 89.085, 89.187, 89.268, 89.332,
  89.384,
 250,        !Nanometers
   0.000,  1.523,  2.800,  3.883,  4.821,  5.684,  6.507,  7.311,  8.114,  8.986,
